claim,truth,pred,raw
A mother revealed to her child in a letter after h,False,Misleading,"I would classify this claim as 'Misleading'. 

The claim is technically accurate in the sense that"
Study says too many Americans still drink too much,True,True,"I would classify this claim as ""True: Scientifically proven and consensus-backed.""

This claim is supported"
Viral image Says 80% of novel coronavirus cases ar,True,Misleading,"I would classify this claim as ""Misleading"". 

The claim is technically accurate in that the majority"
An email says that 9-year old Craig Shergold of Ca,False,Misleading,"I would classify this claim as: 

**Misleading**

The claim is technically accurate in terms of"
"Employees at a Five Guys restaurant in Daphne, Ala",Unverifiable,Unsure,I couldn't find any information or credible sources confirming that employees at a Five Guys restaurant in Daph
FBI agent Peter Strzok II grew up in Iran; had a f,Unverifiable,Misleading,"I would classify this claim as 'Misleading'. 

Although the claim contains some technically accurate facts,"
Roche's schizophrenia drug misses goal in two late,True,Misleading,"I would classify this claim as: 2. Misleading.

The claim implies that the Roche"
Doctors end protest to demand flu vaccines for mig,True,Misleading,"I would classify this claim as ""Misleading"". The claim implies that doctors are protesting to demand flu"
The Westmoreland News ran a KKK ad on the front pa,Misleading,Misleading,"I would classify this claim as: 

2. Misleading

The reason for this classification is that"
The new supplement InteliGEN can boost brain funct,Unverifiable,Misleading,"I would classify the claim as ""Misleading"". 

The reason is that while there may be some"
New Chemo Drug May Benefit Some Breast Cancer Pati,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
Jury finding upends Bayer's Roundup defense strate,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
The media covered up an incident in San Bernardino,False,Misleading,"I would classify this claim as ""Misleading"". The claim suggests a specific incident involving Muslim men firing"
The mayonnaise oozing from a chicken sandwich turn,False,False,"I would classify this claim as: 3. False: Factually incorrect or fabricated.

This claim"
"Lawmakers consider spending, saving $128.5 million",True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
"A film producer claimed actor Kevin Spacey had ""dr",False,False,"I would classify this claim as: 

    3. False: Factually incorrect or fabricated."
Treating at the Earliest Sign of MS May Offer Long,Misleading,True,"I would classify this claim as: 

1. True: Scientifically proven and consensus-backed.

Research"
Nathan Phillips falsely claimed to be a U.S. milit,Unverifiable,False,"I would classify this claim as: 3. False: Factually incorrect or fabricated.

This is"
Public warned of possible measles exposure in Penn,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
“While California is dying … Gavin (Newsom) is vac,False,Misleading,"I would classify this claim as ""Misleading"". The claim is technically accurate in the sense that Gavin"
"Early in America's history, white Irish slaves out",Misleading,Misleading,"I would classify this claim as ""Misleading"". 

The claim is technically accurate in stating that white"
Britain backs GSK's gene therapy for 'bubble boy' ,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
Queen Elizabeth II wore a Burmese Ruby Tiara as a ,False,Misleading,"I would classify this claim as 'Misleading'. 

The claim is technically accurate in stating that Queen"
South Korea court strikes down abortion law in lan,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
Houston reports 3 teens treated for vape-related l,True,Unverifiable,"I would classify this claim as ""Unverifiable"". The claim is too vague and lacks specific details"
Scientists look to stem cells to mend broken heart,False,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

St"
Study suggests a second LDL test,False,Misleading,"I would classify the claim as ""Misleading"". The claim is technically accurate, as there are studies"
Scientists debate cause of dolphin deaths.,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
A lot of the problems with forest fires ... is bec,False,Misleading,"I would classify this claim as ""Misleading"". 

The claim implies that environmentalists are the primary"
"United States President Donald Trump tweeted """"it ",False,Misleading,"I would classify this claim as ""Misleading"".

The claim is technically accurate in that President Trump did"
Artificial Pancreas Continues to Show Promise,False,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
"Obamacare ""cuts seniors’ Medicare.",False,Misleading,"I would classify this claim as ""Misleading"". 

The claim implies that Obamacare (also known as"
Evacuation plan 'out the window' when fire hit Cal,True,Misleading,"I would classify this claim as ""Misleading"". The claim implies that evacuation plans are completely useless or"
Treating First Time Shoulder Dislocations with Sur,False,Misleading,"I would classify this claim as: 

2. Misleading

The claim implies that surgery is the"
"Novartis hopeful for novel heart drug, despite 'mo",True,Misleading,"I would classify this claim as: 2. Misleading

The reason is that the term """
"People can fly with dogs, pot-bellied pigs, turkey",True,Misleading,"I would classify this claim as ""Misleading"". 

The claim is technically accurate in the sense that"
"Gabon president fires VP, forests minister over ha",True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
Prince Harry joins Elton John to launch HIV campai,True,False,"I would classify this claim as: 

3. False: Factually incorrect or fabricated.

There is"
"Suicide kills one person every 40 seconds, says WH",True,True,"I would classify this claim as:

1. True: Scientifically proven and consensus-backed.

This claim"
Photographs show a boy having his arm crushed unde,False,Misleading,"I would classify this claim as ""Misleading"". The claim is technically accurate in the sense that photographs"
"Hospitals plan for 'COVID cabanas,' conference roo",True,Misleading,I would classify this claim as 'Misleading'. The claim is technically accurate in the sense that hospitals
Castration Drug Used as Autism Therapy,True,True,"I would classify this claim as:

1. True: Scientifically proven and consensus-backed.

There are"
 A forwarded email that blames President Obama   f,False,Misleading,"I would classify this claim as: 

**Misleading**

Although the claim is technically accurate in stating"
A Time magazine cover from 1977 with the title “Th,False,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
People who undergo amputations can sign paperwork ,Misleading,True,"I would classify this claim as 'Misleading'. 

Although it is true that some individuals who undergo"
Wyoming QB Allen still day-to-day on injury.,True,Unverifiable,"I would classify this claim as ""Unverifiable"". The claim is likely referring to a specific injury"
Strobe lighting provides a flicker of hope in the ,False,Misleading,"I would classify this claim as ""Misleading"".

The claim implies that strobe lighting has a direct"
Trump vows 'major' steps to aid U.S. economy amid ,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
Accepting a friend request from a stranger will pr,False,Misleading,"I would classify this claim as: 

2. Misleading

This claim is technically accurate in the"
"Heroin comes in the United States ""from the southe",True,Misleading,"I would classify this claim as ""Misleading"". The claim implies that heroin is exclusively imported from the"
Indiana city in jeopardy of losing animal health b,True,Unverifiable,"I would classify this claim as ""Unverifiable"". The claim does not provide any specific information about"
Suzanne Somers advocates ‘natural’ approach when t,False,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

S"
"Heparin recalled in France, Italy, Denmark: report",True,True,"I would classify the claim as: 1. True: Scientifically proven and consensus-backed.

This"
Experimental Drug Raises Good Cholesterol Levels i,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
One in 10 babies born in this country is born in T,True,Misleading,"I would classify this claim as ""Misleading"". The claim is technically accurate in the sense that it"
Too many people missing out on health benefits of ,False,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
Atheists are trying to ban Bibles from all hotel r,Misleading,Misleading,"I would classify this claim as ""Misleading"". The claim is technically accurate in that some atheists or"
Wikileaks’ dump of John Podesta’s e-mails reveal c,Misleading,Misleading,"I would classify this claim as: 

2. Misleading

This claim is technically accurate in that"
"Page 92 of the House health care bill ""says specif",False,Misleading,"I would classify this claim as ""Misleading"". 

The claim implies that the House health care bill"
Spending on mental health went up by £575 million ,Unverifiable,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
A few drops of Visine brand eye drops taken intern,False,Misleading,"I would classify this claim as: 

2. Misleading

The claim is technically accurate in stating"
FDA Approves Bayer's Kyleena™ (Levonorgestrel-Rele,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
Nebraska Sen. Bolz to run for 1st Congressional Di,True,Unsure,"I couldn't find any information about a Nebraska Senator named Bolz. However, I did find information"
"Charlie Crist Says Rick Scott signed ""laws requiri",True,True,"I would classify this claim as ""Misleading"".

The claim is partially true, as Rick Scott did"
UN: Nearly a half-billion in Asia-Pacific still go,True,True,"I would classify this claim as:

1. True: Scientifically proven and consensus-backed.

This claim"
New York hospital sends some 'borderline' COVID-19,True,Unsure,"I couldn't find any information or credible sources confirming that New York hospitals send ""borderline"" COVID"
Fitness experts separate folklore from fact.,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
Donald Trump Says the USMCA is the “biggest trade ,False,Misleading,"I would classify this claim as:

2. Misleading

Although the USMCA (United States"
Women in the United States are 50 percent more lik,True,Misleading,"I would classify this claim as ""Misleading"". 

The claim suggests a direct comparison between the mortality"
Expert Panel Reaffirms Need for Colon Cancer Scree,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

The"
Okposo says he’s healthy after concussion put him ,True,Misleading,"I would classify this claim as ""Misleading"". The claim is technically accurate in stating that Okpos"
"To reverse damage of sitting, take a brisk, hour-l",True,True,"I would classify this claim as ""True: Scientifically proven and consensus-backed"".

Numerous studies have"
"Idaho officials say cat has rabies, first case in ",True,Misleading,"I would classify this claim as: 

2. Misleading

The claim implies that the cat has"
A teenage schoolgirl in Texas became pregnant thro,False,Misleading,"I would classify this claim as 'Misleading'. 

The claim is technically accurate in that it is"
"Last month, 20,000 migrant children were illegally",Unverifiable,Misleading,"I would classify this claim as ""Misleading"". 

The claim states that 20,000 migrant"
Weight loss can be boosted fivefold thanks to nove,Misleading,Misleading,"I would classify this claim as: 

2. Misleading

This is because the claim is technically"
The most likely triggering cause of (microcephaly),False,Misleading,"I would classify this claim as ""Misleading"".

The claim implies a direct causal link between the DT"
2 Aussie wildfires merge into inferno; man serious,True,True,"I would classify this claim as: 1. True: Scientifically proven and consensus-backed.

This"
