claim,truth,pred,raw
A mother revealed to her child in a letter after h,False,False,False
Study says too many Americans still drink too much,True,True,True. According to the
Viral image Says 80% of novel coronavirus cases ar,True,False,"False

The World"
An email says that 9-year old Craig Shergold of Ca,False,False,"False

The claim"
"Employees at a Five Guys restaurant in Daphne, Ala",False,False,"False

The claim"
FBI agent Peter Strzok II grew up in Iran; had a f,False,False,False. The provided information
Roche's schizophrenia drug misses goal in two late,True,Unsure,I am not a medical
Doctors end protest to demand flu vaccines for mig,True,False,"False

The claim"
The Westmoreland News ran a KKK ad on the front pa,False,False,False. According to Sn
The new supplement InteliGEN can boost brain funct,False,False,"False

As of"
New Chemo Drug May Benefit Some Breast Cancer Pati,True,True,"True

It is"
Jury finding upends Bayer's Roundup defense strate,True,Unsure,"The claim ""Jury"
The media covered up an incident in San Bernardino,False,False,"False

The incident"
The mayonnaise oozing from a chicken sandwich turn,False,False,False
"Lawmakers consider spending, saving $128.5 million",True,Unsure,The claim as stated does
"A film producer claimed actor Kevin Spacey had ""dr",False,False,False. There is no
Treating at the Earliest Sign of MS May Offer Long,False,True,True. Early treatment for
Nathan Phillips falsely claimed to be a U.S. milit,False,False,False
Public warned of possible measles exposure in Penn,True,True,True
“While California is dying … Gavin (Newsom) is vac,False,False,"False

The claim"
"Early in America's history, white Irish slaves out",False,False,"False

While it"
Britain backs GSK's gene therapy for 'bubble boy' ,True,True,True. In 2
Queen Elizabeth II wore a Burmese Ruby Tiara as a ,False,False,False
South Korea court strikes down abortion law in lan,True,False,"False

As of"
Houston reports 3 teens treated for vape-related l,True,Unsure,I am not a real
Scientists look to stem cells to mend broken heart,False,True,"True

Stem"
Study suggests a second LDL test,False,Unsure,The claim as stated is
Scientists debate cause of dolphin deaths.,True,True,True
A lot of the problems with forest fires ... is bec,False,False,"False

While it"
"United States President Donald Trump tweeted """"it ",False,False,"False

President"
Artificial Pancreas Continues to Show Promise,False,True,True
"Obamacare ""cuts seniors’ Medicare.",False,False,"False

The Aff"
Evacuation plan 'out the window' when fire hit Cal,True,Unsure,Neutral/In
Treating First Time Shoulder Dislocations with Sur,False,False,"False

While it"
"Novartis hopeful for novel heart drug, despite 'mo",True,True,True (with some context
"People can fly with dogs, pot-bellied pigs, turkey",True,False,"False

While it"
"Gabon president fires VP, forests minister over ha",True,Unsure,The verdict cannot be
Prince Harry joins Elton John to launch HIV campai,True,True,True. Prince Harry and
"Suicide kills one person every 40 seconds, says WH",True,False,"False

The World"
Photographs show a boy having his arm crushed unde,False,False,"False

This claim"
"Hospitals plan for 'COVID cabanas,' conference roo",True,True,"True

There have"
Castration Drug Used as Autism Therapy,True,False,"False

There is"
 A forwarded email that blames President Obama   f,False,False,False
A Time magazine cover from 1977 with the title “Th,False,True,True
People who undergo amputations can sign paperwork ,False,False,False
Wyoming QB Allen still day-to-day on injury.,True,Unsure,The verdict cannot be
Strobe lighting provides a flicker of hope in the ,False,False,"False

While it"
Trump vows 'major' steps to aid U.S. economy amid ,True,Unsure,Neutral (The
Accepting a friend request from a stranger will pr,False,False,False
"Heroin comes in the United States ""from the southe",True,False,False. Heroin can
Indiana city in jeopardy of losing animal health b,True,Unsure,The claim as stated is
Suzanne Somers advocates ‘natural’ approach when t,False,True,True. Suzanne Som
"Heparin recalled in France, Italy, Denmark: report",True,Unsure,To provide an accurate response
Experimental Drug Raises Good Cholesterol Levels i,True,True,True (with qualification
One in 10 babies born in this country is born in T,True,False,False. The claim that
Too many people missing out on health benefits of ,False,Unsure,The claim as stated is
Atheists are trying to ban Bibles from all hotel r,False,False,False
Wikileaks’ dump of John Podesta’s e-mails reveal c,False,False,"False

The claim"
"Page 92 of the House health care bill ""says specif",False,False,False
Spending on mental health went up by £575 million ,False,Unsure,To provide an accurate response
A few drops of Visine brand eye drops taken intern,False,False,False
FDA Approves Bayer's Kyleena™ (Levonorgestrel-Rele,True,True,True
Nebraska Sen. Bolz to run for 1st Congressional Di,True,False,"False

As of"
"Charlie Crist Says Rick Scott signed ""laws requiri",True,False,"False

Rick"
UN: Nearly a half-billion in Asia-Pacific still go,True,True,"True

The United"
New York hospital sends some 'borderline' COVID-19,True,True,True. It is a
Fitness experts separate folklore from fact.,True,True,True. Fitness experts
Donald Trump Says the USMCA is the “biggest trade ,False,False,"False

The claim"
Women in the United States are 50 percent more lik,True,False,False. According to the
Expert Panel Reaffirms Need for Colon Cancer Scree,True,True,True
Okposo says he’s healthy after concussion put him ,True,Unsure,The claim as stated is
"To reverse damage of sitting, take a brisk, hour-l",True,False,"False

While regular"
"Idaho officials say cat has rabies, first case in ",True,True,True or False cannot be
A teenage schoolgirl in Texas became pregnant thro,False,False,False
"Last month, 20,000 migrant children were illegally",False,False,"False

The claim"
Weight loss can be boosted fivefold thanks to nove,False,False,"False

While mental"
The most likely triggering cause of (microcephaly),False,False,"False

The claim"
2 Aussie wildfires merge into inferno; man serious,True,True,True (with some qual
"Lamont fills top public health, insurance agency j",True,False,"False

The claim"
The city of Atlanta has $56 million in its reserve,True,False,"False

The claim"
CVI: The impairment affecting children whose eyes ,True,False,"False

CVI"
"Leticia Van de Putte ""voted to give illegal immigr",False,False,"False

The claim"
Talk radio host Rush Limbaugh was disqualified fro,False,False,False. Rush Lim
Immigration authorities are taking rosaries away f,True,False,"False

The claim"
Marco Rubio thinks that government shouldn't be in,False,False,"False

Sen"
5 convicted in meningitis outbreak case; 1 acquitt,True,True,True (or more accurately
A list compiles Andy Rooney's wry observations on ,False,True,True. Andy Rooney
"“The flu killed 80,000 Americans last year accordi",False,True,True. According to the
"Taiwan's 'holy pig' festival cruel, says rights gr",True,Unsure,The claim as stated is
"For thousands of public employees, Wisconsin Gov. ",False,False,"False

The claim"
"An image shows reported cases of ""flesh eating bac",False,False,"False

The Cent"
Some grocery store receipts contain chemicals link,True,True,"True

Some grocery"
FDA advisory panel backs Merck's blood clot-preven,True,True,True. In April
Over a dozen arrests in SC following 4th Poor Peop,True,Unsure,I am not a real
"The Black Panther Party created the Women, Infants",False,False,"False. The Women,"
A photograph shows a dead man whose unwitting co-w,False,False,"False

The claim"
"Swiss police arrest ""healer"" accused of infecting ",True,False,"False

The claim"
A photograh showing a body of water with two disti,False,False,"False

The Mississippi"
NASA and NOAA faked climate data in the GISTEMP gl,False,False,False
A photo shows Democratic U.S. Rep. Maxine Waters a,False,False,False
"Illegal tobacco sales, price driven too high, has ",True,False,"False

While it"
"John Holdren, director of the White House Office o",False,False,False. This claim is
"U.S. Senator Kamala Harris bragged, boasted or lau",False,False,"False

The claim"
Merck wins UK okay for Keytruda in lung cancer aft,True,Unsure,To provide an accurate response
In the last six years of Cianci’s administration v,True,False,"False

The claim"
Many younger U.S. adults skipping flu shots: repor,True,True,True. According to the
