claim,truth,pred,raw
A mother revealed to her child in a letter after h,False,True,"FACTUALLY ACCURATE.

Analysis: The"
Study says too many Americans still drink too much,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Viral image Says 80% of novel coronavirus cases ar,True,True,"FACTUALLY ACCURATE.

Analysis: The"
An email says that 9-year old Craig Shergold of Ca,False,True,"FACTUALLY ACCURATE.

Analysis: The"
Roche's schizophrenia drug misses goal in two late,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Doctors end protest to demand flu vaccines for mig,True,False,"MISINFORMATION DETECTED.

Analysis:"
New Chemo Drug May Benefit Some Breast Cancer Pati,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Jury finding upends Bayer's Roundup defense strate,True,True,"FACTUALLY ACCURATE.

Analysis: The"
The media covered up an incident in San Bernardino,False,False,"MISINFORMATION DETECTED.

Analysis:"
The mayonnaise oozing from a chicken sandwich turn,False,False,"MISINFORMATION DETECTED.

Analysis:"
"Lawmakers consider spending, saving $128.5 million",True,True,"FACTUALLY ACCURATE.

Analysis: The"
"A film producer claimed actor Kevin Spacey had ""dr",False,False,"MISINFORMATION DETECTED.

Analysis:"
Public warned of possible measles exposure in Penn,True,True,"FACTUALLY ACCURATE.

Analysis: The"
“While California is dying … Gavin (Newsom) is vac,False,False,"MISINFORMATION DETECTED.

Analysis:"
Britain backs GSK's gene therapy for 'bubble boy' ,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Queen Elizabeth II wore a Burmese Ruby Tiara as a ,False,False,"MISINFORMATION DETECTED.

Analysis:"
South Korea court strikes down abortion law in lan,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Houston reports 3 teens treated for vape-related l,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Scientists look to stem cells to mend broken heart,False,True,"FACTUALLY ACCURATE.

Analysis: The"
Study suggests a second LDL test,False,False,"MISINFORMATION DETECTED.

Analysis:"
Scientists debate cause of dolphin deaths.,True,True,"FACTUALLY ACCURATE.

Analysis: The"
A lot of the problems with forest fires ... is bec,False,False,"MISINFORMATION DETECTED.

Analysis:"
"United States President Donald Trump tweeted """"it ",False,False,"MISINFORMATION DETECTED.

Analysis:"
Artificial Pancreas Continues to Show Promise,False,True,"FACTUALLY ACCURATE.

Analysis: The"
"Obamacare ""cuts seniors’ Medicare.",False,False,"MISINFORMATION DETECTED.

Analysis:"
Evacuation plan 'out the window' when fire hit Cal,True,False,"MISINFORMATION DETECTED.

Analysis:"
Treating First Time Shoulder Dislocations with Sur,False,True,"FACTUALLY ACCURATE.

Analysis: The"
"Novartis hopeful for novel heart drug, despite 'mo",True,True,"FACTUALLY ACCURATE.

Analysis: The"
"People can fly with dogs, pot-bellied pigs, turkey",True,False,"MISINFORMATION DETECTED.

Analysis:"
"Gabon president fires VP, forests minister over ha",True,True,"FACTUALLY ACCURATE.

Analysis: The"
Prince Harry joins Elton John to launch HIV campai,True,True,"FACTUALLY ACCURATE.

Analysis: The"
"Suicide kills one person every 40 seconds, says WH",True,True,"FACTUALLY ACCURATE.

Analysis: The"
Photographs show a boy having his arm crushed unde,False,False,"MISINFORMATION DETECTED.

Analysis:"
"Hospitals plan for 'COVID cabanas,' conference roo",True,False,"MISINFORMATION DETECTED.

Analysis:"
Castration Drug Used as Autism Therapy,True,False,"MISINFORMATION DETECTED.

Analysis:"
 A forwarded email that blames President Obama   f,False,False,"MISINFORMATION DETECTED.

Analysis:"
A Time magazine cover from 1977 with the title “Th,False,True,"FACTUALLY ACCURATE.

Analysis: The"
Wyoming QB Allen still day-to-day on injury.,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Strobe lighting provides a flicker of hope in the ,False,False,"MISINFORMATION DETECTED.

Analysis:"
Trump vows 'major' steps to aid U.S. economy amid ,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Accepting a friend request from a stranger will pr,False,False,"MISINFORMATION DETECTED.

Analysis:"
"Heroin comes in the United States ""from the southe",True,False,"MISINFORMATION DETECTED.

Analysis:"
Indiana city in jeopardy of losing animal health b,True,False,"MISINFORMATION DETECTED.

Analysis:"
Suzanne Somers advocates ‘natural’ approach when t,False,True,"FACTUALLY ACCURATE.

Analysis: The"
"Heparin recalled in France, Italy, Denmark: report",True,False,"MISINFORMATION DETECTED.

Analysis:"
Experimental Drug Raises Good Cholesterol Levels i,True,True,"FACTUALLY ACCURATE.

Analysis: The"
One in 10 babies born in this country is born in T,True,True,"FACTUALLY ACCURATE.

Analysis: The"
Too many people missing out on health benefits of ,False,True,"FACTUALLY ACCURATE.

Analysis: The"
"Page 92 of the House health care bill ""says specif",False,False,"MISINFORMATION DETECTED.

Analysis:"
A few drops of Visine brand eye drops taken intern,False,False,"MISINFORMATION DETECTED.

Analysis:"
