claim,truth,pred,raw
"In April 2005, we spotted a tearjerker on the Inte",False,False,"False

The story described is a fictional"
That means the great majority of Americans stay wi,True,True,True
"Amid the spread of the novel coronavirus, many peo",True,True,The claim is 'Mostly True'. The chart
Craig Shergold is real and             in 1989 whe,False,True,True
Results of two Phase III trials found bitopertin i,True,True,True
Dr. Bonnie Arzuaga said Customs and Border Patrol ,True,True,True
There is no discussion of cost in the article. The,True,Unsure,Mixed bag. The article does a good job
Bayer shares tumbled more than 12 percent on Wedne,True,True,True
"On or around 29 March 2016, several unreliable web",False,False,False
A particularly yucky food tale from the early 1990,False,False,False
Republicans are praising conservative fiscal polic,True,Unsure,This claim is a statement of opinions and interpretations
"On 31 October 2017, the junk news site formerly kn",False,False,False
The Pennsylvania Department of Health says people ,True,True,True
As states begin to reopen in the face of the coron,False,False,False
Gene therapy is designed to deliver a one-off cure,True,True,True
A rumor started circulating during U.S. President ,False,True,True
"In a statement, it said the ban, as well as a law ",True,True,True
The Houston Health Department announced Tuesday th,True,True,True
The only cost information is the size of the resea,False,False,"False

The claim is false because the article"
The article fails to report how much the test cost,False,True,"True (mostly)

The claim is"
A bottlenose dolphin breaks the surface near Kenne,True,True,"True (with some qualifications)

The"
America gets a lot of wildfires. Some of them hit ,False,Unsure,"The claim that ""A lot of the problems with"
"On May 12 2020, a screenshot of a purported tweet ",False,False,False
Costs of the new approach or the currently availab,False,True,The claim is 'True' to a certain extent
GOP Senate candidate Ed Gillespie says Obamacare w,False,True,Half True
As strong winds sent flames roaring into Paradise ,True,True,True
The news release does not mention costs. The news ,False,Unsure,The claim that the news release does not engage in
This article does a great job of noting the cost a,True,True,The claim is 'True'. The article does a
News stories abound of airline passengers travelin,True,True,True
"The statement gave no reason for their removal, bu",True,True,The claim is True. The information provided in the
The billion-dollar project “MenStar” will target m,True,True,True
"Hanging, poisoning and shooting are the most commo",True,True,True
The above-displayed photographs have been circulat,False,True,True
"Scripps Health, which operates five hospital campu",True,True,True
"The story says that Lupron costs about $5,000 a mo",True,True,True
Our investigation into this   story did not find a,False,True,True
"On 30 October 2017, climate change denier blog “Wa",False,False,False
Allen injured his throwing shoulder during the Nov,True,True,True
The story does include a hint from the senior auth,False,True,The claim is 'True'. The article does acknowledge
“We’ll be discussing a possible payroll tax cut or,True,True,The claim is True. The article describes a series
Heads-up!! Almost every account is being cloned. Y,False,False,False. The claim is a hoax and a
Donald Trump tied the heroin epidemic gripping sub,True,True,True
If Eli Lilly and Co. officials were to sell or spi,True,True,True
The article provides no cost estimate for  bioiden,False,True,The claim is 'True'. The article does not
The European Medicines Agency presumes the contami,True,True,True
Because this story clearly points out that the dru,True,True,The claim is 'True'. The article provides a
A Fort Worth pediatrician who supports continued f,True,True,True
The news release states that golfers tend to be “r,False,Unsure,The claim that golf is associated with longev
House Democratic leaders last week released the he,False,False,False
The desire for revenge runs deep in all of us. Eve,False,False,"False

The claim that Visine can cause"
