claim,truth,pred,raw
A mother revealed to her child in a letter after h,Harmful,Accurate,1. Accurate
Study says too many Americans still drink too much,Accurate,Accurate,1. Accurate
Viral image Says 80% of novel coronavirus cases ar,Accurate,Unsure,1.
An email says that 9-year old Craig Shergold of Ca,Harmful,Unsure,1.
"Employees at a Five Guys restaurant in Daphne, Ala",Unverifiable,Harmful,3. Harmful
FBI agent Peter Strzok II grew up in Iran; had a f,Unverifiable,Harmful,3. Harmful
Roche's schizophrenia drug misses goal in two late,Accurate,Accurate,1. Accurate
Doctors end protest to demand flu vaccines for mig,Accurate,Harmful,3. Harmful
The Westmoreland News ran a KKK ad on the front pa,Misleading,Accurate,1. Accurate
The new supplement InteliGEN can boost brain funct,Unverifiable,Unsure,1.
New Chemo Drug May Benefit Some Breast Cancer Pati,Accurate,Accurate,1. Accurate
Jury finding upends Bayer's Roundup defense strate,Accurate,Accurate,1. Accurate
The media covered up an incident in San Bernardino,Harmful,Harmful,3. Harmful
The mayonnaise oozing from a chicken sandwich turn,Harmful,Harmful,3. Harmful
"Lawmakers consider spending, saving $128.5 million",Accurate,Accurate,1. Accurate
"A film producer claimed actor Kevin Spacey had ""dr",Harmful,Harmful,3. Harmful
Treating at the Earliest Sign of MS May Offer Long,Misleading,Accurate,1. Accurate
Nathan Phillips falsely claimed to be a U.S. milit,Unverifiable,Harmful,3. Harmful
Public warned of possible measles exposure in Penn,Accurate,Accurate,1. Accurate
“While California is dying … Gavin (Newsom) is vac,Harmful,Harmful,Harmful
"Early in America's history, white Irish slaves out",Misleading,Accurate,1. Accurate
Britain backs GSK's gene therapy for 'bubble boy' ,Accurate,Accurate,1. Accurate
Queen Elizabeth II wore a Burmese Ruby Tiara as a ,Harmful,Harmful,3. Harmful
South Korea court strikes down abortion law in lan,Accurate,Accurate,1. Accurate
Houston reports 3 teens treated for vape-related l,Accurate,Accurate,1. Accurate
Scientists look to stem cells to mend broken heart,Harmful,Accurate,1. Accurate
Study suggests a second LDL test,Harmful,Accurate,1. Accurate
Scientists debate cause of dolphin deaths.,Accurate,Accurate,1. Accurate
A lot of the problems with forest fires ... is bec,Harmful,Unsure,3.
"United States President Donald Trump tweeted """"it ",Harmful,Unsure,3.
Artificial Pancreas Continues to Show Promise,Harmful,Accurate,1. Accurate
"Obamacare ""cuts seniors’ Medicare.",Harmful,Harmful,3. Harmful
Evacuation plan 'out the window' when fire hit Cal,Accurate,Harmful,3. Harmful
Treating First Time Shoulder Dislocations with Sur,Harmful,Accurate,1. Accurate
"Novartis hopeful for novel heart drug, despite 'mo",Accurate,Accurate,1. Accurate
"People can fly with dogs, pot-bellied pigs, turkey",Accurate,Harmful,Harmful
"Gabon president fires VP, forests minister over ha",Accurate,Accurate,1. Accurate
Prince Harry joins Elton John to launch HIV campai,Accurate,Accurate,1. Accurate
"Suicide kills one person every 40 seconds, says WH",Accurate,Accurate,1. Accurate
Photographs show a boy having his arm crushed unde,Harmful,Accurate,1. Accurate
"Hospitals plan for 'COVID cabanas,' conference roo",Accurate,Harmful,3. Harmful
Castration Drug Used as Autism Therapy,Accurate,Harmful,3. Harmful
 A forwarded email that blames President Obama   f,Harmful,Harmful,3. Harmful
A Time magazine cover from 1977 with the title “Th,Harmful,Accurate,1. Accurate
People who undergo amputations can sign paperwork ,Misleading,Accurate,1. Accurate
Wyoming QB Allen still day-to-day on injury.,Accurate,Unsure,1.
Strobe lighting provides a flicker of hope in the ,Harmful,Unverifiable,Unverifiable
Trump vows 'major' steps to aid U.S. economy amid ,Accurate,Accurate,1. Accurate
Accepting a friend request from a stranger will pr,Harmful,Harmful,3. Harmful
"Heroin comes in the United States ""from the southe",Accurate,Accurate,1. Accurate
Indiana city in jeopardy of losing animal health b,Accurate,Unverifiable,Unverifiable
Suzanne Somers advocates ‘natural’ approach when t,Harmful,Accurate,1. Accurate
"Heparin recalled in France, Italy, Denmark: report",Accurate,Unverifiable,1. Unverifiable
Experimental Drug Raises Good Cholesterol Levels i,Accurate,Accurate,1. Accurate
One in 10 babies born in this country is born in T,Accurate,Accurate,1. Accurate
Too many people missing out on health benefits of ,Harmful,Accurate,1. Accurate
Atheists are trying to ban Bibles from all hotel r,Misleading,Harmful,3. Harmful
Wikileaks’ dump of John Podesta’s e-mails reveal c,Misleading,Harmful,3. Harmful
"Page 92 of the House health care bill ""says specif",Harmful,Unsure,3.
Spending on mental health went up by £575 million ,Unverifiable,Accurate,1. Accurate
A few drops of Visine brand eye drops taken intern,Harmful,Harmful,3. Harmful
FDA Approves Bayer's Kyleena™ (Levonorgestrel-Rele,Accurate,Accurate,1. Accurate
Nebraska Sen. Bolz to run for 1st Congressional Di,Accurate,Unverifiable,Unverifiable
"Charlie Crist Says Rick Scott signed ""laws requiri",Accurate,Unsure,3.
UN: Nearly a half-billion in Asia-Pacific still go,Accurate,Accurate,1. Accurate
New York hospital sends some 'borderline' COVID-19,Accurate,Accurate,1. Accurate
Fitness experts separate folklore from fact.,Accurate,Accurate,1. Accurate
Donald Trump Says the USMCA is the “biggest trade ,Harmful,Accurate,1. Accurate
Women in the United States are 50 percent more lik,Accurate,Harmful,3. Harmful
Expert Panel Reaffirms Need for Colon Cancer Scree,Accurate,Accurate,1. Accurate
Okposo says he’s healthy after concussion put him ,Accurate,Unverifiable,Unverifiable
"To reverse damage of sitting, take a brisk, hour-l",Accurate,Accurate,1. Accurate
"Idaho officials say cat has rabies, first case in ",Accurate,Accurate,1. Accurate
A teenage schoolgirl in Texas became pregnant thro,Harmful,Harmful,3. Harmful
"Last month, 20,000 migrant children were illegally",Unverifiable,Harmful,Harmful
Weight loss can be boosted fivefold thanks to nove,Misleading,Misleading,1. Misleading
The most likely triggering cause of (microcephaly),Harmful,Harmful,3. Harmful
2 Aussie wildfires merge into inferno; man serious,Accurate,Accurate,1. Accurate
"Lamont fills top public health, insurance agency j",Accurate,Accurate,1. Accurate
The city of Atlanta has $56 million in its reserve,Accurate,Accurate,1. Accurate
CVI: The impairment affecting children whose eyes ,Accurate,Unverifiable,Unverifiable
"Leticia Van de Putte ""voted to give illegal immigr",Harmful,Harmful,Harmful
Talk radio host Rush Limbaugh was disqualified fro,Unverifiable,Accurate,1. Accurate
Immigration authorities are taking rosaries away f,Accurate,Harmful,3. Harmful
Marco Rubio thinks that government shouldn't be in,Harmful,Accurate,1. Accurate
5 convicted in meningitis outbreak case; 1 acquitt,Accurate,Accurate,1. Accurate
A list compiles Andy Rooney's wry observations on ,Harmful,Accurate,1. Accurate
"“The flu killed 80,000 Americans last year accordi",Harmful,Accurate,1. Accurate
"Taiwan's 'holy pig' festival cruel, says rights gr",Accurate,Harmful,3. Harmful
"For thousands of public employees, Wisconsin Gov. ",Misleading,Harmful,3. Harmful
"An image shows reported cases of ""flesh eating bac",Harmful,Harmful,3. Harmful
Some grocery store receipts contain chemicals link,Accurate,Harmful,3. Harmful
FDA advisory panel backs Merck's blood clot-preven,Accurate,Accurate,1. Accurate
Over a dozen arrests in SC following 4th Poor Peop,Accurate,Accurate,1. Accurate
"The Black Panther Party created the Women, Infants",Harmful,Unsure,3.
A photograph shows a dead man whose unwitting co-w,Harmful,Accurate,1. Accurate
"Swiss police arrest ""healer"" accused of infecting ",Accurate,Accurate,1. Accurate
A photograh showing a body of water with two disti,Misleading,Unsure,3.
NASA and NOAA faked climate data in the GISTEMP gl,Harmful,Harmful,3. Harmful
A photo shows Democratic U.S. Rep. Maxine Waters a,Harmful,Accurate,1. Accurate
"Illegal tobacco sales, price driven too high, has ",Accurate,Harmful,3. Harmful
"John Holdren, director of the White House Office o",Harmful,Unsure,3.
"U.S. Senator Kamala Harris bragged, boasted or lau",Misleading,Harmful,3. Harmful
Merck wins UK okay for Keytruda in lung cancer aft,Accurate,Accurate,1. Accurate
In the last six years of Cianci’s administration v,Accurate,Unverifiable,Unverifiable
Many younger U.S. adults skipping flu shots: repor,Accurate,Unsure,1.
The FDA has updated its warnings for — and recomme,Accurate,Accurate,1. Accurate
The WHO coronavirus test “was a bad test.”,Harmful,Harmful,3. Harmful
"On September 18 2020, Twitter user @JohnCammo twee",Accurate,Unsure,3.
On mandatory ultrasounds before abortions.,Accurate,Harmful,3. Harmful
Tougher vaccine rules move forward in California.,Accurate,Unsure,1.
"Facebook post Says ""there is no"" COVID-19 virus.",Harmful,Harmful,3. Harmful
Deborah Harry was nearly abducted by serial killer,Unverifiable,Unverifiable,Unverifiable
Drug Policy Alliance Says Debbie Wasserman Schultz,Harmful,Harmful,3. Harmful
French breast implant boss arrested.,Accurate,Unverifiable,Unverifiable
The Healthy Skeptic: Products make testosterone cl,Accurate,Accurate,1. Accurate
Oregon 2nd-grader diagnosed with meningococcal men,Accurate,Unverifiable,Unverifiable
Blood Test May Predict Rheumatoid Arthritis,Harmful,Accurate,1. Accurate
'Female Viagra' gets mixed reviews,Harmful,Accurate,1. Accurate
U.S. coronavirus supply spree sparks outrage among,Accurate,Harmful,3. Harmful
Photographs show a new Chinese aircraft carrier.,Unverifiable,Accurate,1. Accurate
Facebook post Says businesses will give you free b,Harmful,Harmful,3. Harmful
"Beth Chapman, wife of Duane “Dog” Chapman from the",Misleading,Accurate,1. Accurate
"During the August 2017 solar eclipse, some people ",Unverifiable,Accurate,1. Accurate
"The IRS is going to be ""in charge"" of ""a huge nati",Harmful,Harmful,3. Harmful
Dr. Deborah Birx said at a press conference concer,Accurate,Unsure,3.
The real Hillary Clinton has been dead since 1998 ,Harmful,Harmful,3. Harmful
After Massachusetts passed a mandatory health insu,Accurate,Accurate,1. Accurate
"Humira Provides Effective, Non-Steroid Alternative",Accurate,Accurate,1. Accurate
"HIV-positive basketball star Earvin ""Magic"" Johnso",Harmful,Accurate,1. Accurate
Menopause 'hot flash' medicine could cut symptom b,Harmful,Accurate,1. Accurate
"In February and March 2018, hundreds of Canadian d",Accurate,Accurate,1. Accurate
Blood test may identify gestational diabetes risk ,Accurate,Accurate,1. Accurate
U.S. ‘wasted’ months before preparing for virus pa,Accurate,Accurate,1. Accurate
An habitual alcohol abuser lost his penis to frost,Harmful,Harmful,3. Harmful
Glaxo Touts Experimental Tykerb As Effective Breas,Misleading,Harmful,3. Harmful
"Ebola is real, Congo president tells skeptical pop",Accurate,Accurate,1. Accurate
New breast cancer screening guidelines at odds wit,Accurate,Accurate,1. Accurate
Arminas Pileckas was murdered because he was tryin,Unverifiable,Accurate,1. Accurate
A video investigation showed that Planned Parentho,Harmful,Harmful,3. Harmful
Wyeth Wins U.S. OK to Sell Pristiq for Depression.,Accurate,Accurate,1. Accurate
"The stimulus includes ""$219,000 to study the sex l",Misleading,Accurate,1. Accurate
Jury clears J&J of liability in New Jersey talc ca,Accurate,Accurate,1. Accurate
More women are victims of domestic violence on Sup,Harmful,Accurate,1. Accurate
"An ""abortion procedure is actually safer than a va",Accurate,Harmful,3. Harmful
"Dick Black Says Jill McCabe ""supports late term ab",Harmful,Harmful,3. Harmful
"Donald Trump Says 25 percent of U.S. Muslims ""agre",Harmful,Harmful,3. Harmful
"In 2019, California education authorities formulat",Harmful,Harmful,3. Harmful
"In Small Test, Experimental Prostate Drug Shows Pr",Misleading,Accurate,1. Accurate
Trading tires: How the West fuels a waste crisis i,Accurate,Unverifiable,Unverifiable
"When Size Matters, Men Can Turn to Penile Extender",Misleading,Unverifiable,Unverifiable
A Russian asbestos company placed a seal with the ,Accurate,Harmful,3. Harmful
Death and disease from leptospirosis is spread by ,Misleading,Harmful,3. Harmful
"As a state rep, I was considered the fourth-most c",Misleading,Accurate,1. Accurate
The Obama administration created a program to prov,Misleading,Harmful,3. Harmful
A video shows the fluff of poplar trees burning ac,Accurate,Accurate,1. Accurate
US biologists eye unusual deaths of Alaska ice sea,Accurate,Accurate,1. Accurate
"States look to lower drug costs, consider Canadian",Accurate,Accurate,1. Accurate
Malaysia vaccinating for polio after first case in,Accurate,Accurate,1. Accurate
Biogen's secret campaign to bring its Alzheimer's ,Accurate,Unverifiable,Unverifiable
Officials worry about Nebraska children’s health c,Accurate,Accurate,1. Accurate
Regarding the surgery that saved Jimmy Kimmel's so,Harmful,Harmful,3. Harmful
Penn team finds success with talk therapy for schi,Misleading,Accurate,1. Accurate
The snakehead fish can survive on land. ,Accurate,Harmful,3. Harmful
"More than 1,000 people ... move to Texas every day",Accurate,Accurate,1. Accurate
WWE wrestler Ric Flair was declared brain dead on ,Harmful,Harmful,3. Harmful
Pulsed radiofrequency relieves acute back pain and,Harmful,Accurate,1. Accurate
"The government ""knowingly"" injected a birth defect",Harmful,Harmful,3. Harmful
China reports one more H7N9 bird flu death.,Accurate,Accurate,1. Accurate
A 31-year-old Cincinnati woman was taken to the ho,Harmful,Harmful,3. Harmful
Study Shows Limited Benefits From Calcium,Misleading,Harmful,3. Harmful
"In January 2020, Paula White prayed for all ""satan",Misleading,Harmful,3. Harmful
"Johns Hopkins Hospital issued a ""cancer update"" de",Harmful,Accurate,1. Accurate
Japan defends cautious approach on coronavirus tes,Accurate,Accurate,1. Accurate
Claims of virgin births in U.S. near 1 percent: st,Accurate,Accurate,1. Accurate
Mobile clinics seen as way to cut U.S. health bill,Accurate,Accurate,1. Accurate
Chance the Rapper giving $1M to boost mental healt,Accurate,Accurate,1. Accurate
"New nonprofit tackles COVID-19 in Native, rural co",Accurate,Accurate,1. Accurate
"VW ramps up China electric car factories, taking a",Accurate,Accurate,1. Accurate
Britain gives scientist go-ahead to genetically mo,Accurate,Unsure,1.
The FBI foiled a Muslim Brotherhood plot to take o,Unverifiable,Accurate,1. Accurate
U.S. Representatives Rashid Tlaib and Ilhan Omar c,Harmful,Harmful,3. Harmful
"In January 2019, Second Lady Karen Pence began wor",Misleading,Harmful,3. Harmful
Russian president Vladimir Putin slammed Western c,Unverifiable,Harmful,3. Harmful
"Donald Trump Jr. tweeted, ""Do you know what's depl",Accurate,Unsure,3.
New drugs show rare promise against advanced breas,Accurate,Accurate,1. Accurate
House protects pizza as a vegetable.,Accurate,Harmful,3. Harmful
Penn study: Pay patients to take their pills,Accurate,Accurate,1. Accurate
"Ken Paxton Says Barack Obama ""acknowledged over 20",Harmful,Harmful,3. Harmful
Big Island hospital struck by outbreak of scabies.,Accurate,Unverifiable,Unverifiable
Tuberculosis infection found at University of Miss,Accurate,Accurate,1. Accurate
"The Affordable Care Act says that ""at age 76 when ",Harmful,Unsure,3.
"‘Critical moment’ for firms amid retirements, opio",Accurate,Unverifiable,Unverifiable
Eating more fish could prevent Parkinson's disease,Harmful,Accurate,1. Accurate
Huggies Snug and Dry brand diapers commonly cause ,Unverifiable,Harmful,3. Harmful
Eleven states have banned the use of electronic ci,Harmful,Accurate,1. Accurate
The coronavirus has seen a “big surge in New Zeala,Harmful,Harmful,3. Harmful
"Shows a waitress saying, ""I lost my job. But I'll ",Harmful,Accurate,1. Accurate
A letter to the editor suggested that 2007's early,Misleading,Accurate,1. Accurate
A video shows two people waving guns at protesters,Accurate,Harmful,3. Harmful
Canadians worried by plan to let Americans import ,Accurate,Harmful,3. Harmful
Breast-Feeding Linked to Reduced Risk of Preemie E,Accurate,Accurate,1. Accurate
Robotic surgeries costlier but safer: study,Accurate,Accurate,1. Accurate
A Twitter user responded to Stephen King's asserti,Misleading,Accurate,1. Accurate
"On Syria, ""a lot of the allies signed on. At the l",Harmful,Harmful,3. Harmful
A photograph shows the Arch of Baal erected on the,Accurate,Harmful,3. Harmful
There is no good data showing secondhand smoke kil,Harmful,Harmful,3. Harmful
Testosterone gel linked to heart problems.,Accurate,Harmful,3. Harmful
"During a radio interview, Rosie O'Donnell said, ""I",Misleading,Harmful,3. Harmful
"Waste not, want not: P&G venture aims to squeeze n",Accurate,Harmful,3. Harmful
"Mike Pence Says Hillary Clinton ""wants to increase",Accurate,Harmful,3. Harmful
Ohio officials say tick-borne Lyme Disease still a,Accurate,Accurate,1. Accurate
Missouri faces vaccination hesitancy amid measles ,Accurate,Unsure,1.
"Southeast Asian nations, among worst ocean pollute",Accurate,Accurate,1. Accurate
The use of cellular phones poses a danger of touch,Harmful,Harmful,3. Harmful
Georgia teenager Maddie Kelley is endangered and n,Misleading,Unverifiable,Unverifiable
Britain to complete plan next year to reach net ze,Accurate,Accurate,1. Accurate
Marijuana legalization has led to an increase in c,Unverifiable,Harmful,3. Harmful
Senators: Double funding for universal flu vaccine,Accurate,Accurate,1. Accurate
Jury awards more than $70M to woman in baby powder,Accurate,Accurate,1. Accurate
Thailand reports new coronavirus death as total ca,Accurate,Accurate,1. Accurate
Democrats push new $3T coronavirus relief bill thr,Accurate,Accurate,1. Accurate
"Students at Emory University were offered ""emergen",Harmful,Accurate,1. Accurate
President Donald Trump has targeted the family of ,Harmful,Harmful,3. Harmful
Massachusetts lawmakers weigh ‘Medicare for all’ b,Accurate,Accurate,1. Accurate
"Dr. Leon Eisenberg, the ‘father’ of ADHD, said jus",Accurate,Harmful,3. Harmful
University of Findlay research students discovered,Misleading,Accurate,1. Accurate
Lilly diabetes drug slashes deaths 32 pct in heart,Misleading,Accurate,1. Accurate
"The term ""Black Friday"" originated with the practi",Harmful,Harmful,3. Harmful
Judge considers Hammond Ranches grazing permit.,Accurate,Unverifiable,Unverifiable
China to ban smoking at indoor public places.,Accurate,Accurate,1. Accurate
Abortionists have reduced our black population by ,Harmful,Harmful,3. Harmful
This Blood Test Could Help Predict If A Pregnancy ,Accurate,Accurate,1. Accurate
US lawmaker opposes drilling permit work during sh,Accurate,Accurate,1. Accurate
Planned Parenthood funding in Texas at stake in he,Accurate,Accurate,1. Accurate
VA will provide in-home care for Iraq veteran.,Accurate,Accurate,1. Accurate
 Hillary Clinton was forced to cancel a campaign e,Harmful,Harmful,3. Harmful
"Chondroitin of little help for arthritis, study sa",Accurate,Harmful,3. Harmful
You can be fined $999 and have your license suspen,Unverifiable,Unsure,3.
Partial rather than full knee replacements better ,Harmful,Accurate,1. Accurate
French foie gras makers worry as bird flu spreads ,Accurate,Accurate,1. Accurate
Arizona State Senate candidate Bobby Wilson fatall,Accurate,Harmful,3. Harmful
"Half of all adults have a pre-existing condition"" ",Accurate,Accurate,1. Accurate
"An increase in documented cases of people ""scromit",Accurate,Harmful,3. Harmful
 Pro-life activists say Girl Scout cookie sales be,Harmful,Accurate,1. Accurate
Authorities in Kenya warned of a new outbreak of H,Harmful,Harmful,3. Harmful
FDA launching major anti-tobacco campaign aimed at,Accurate,Accurate,1. Accurate
There's a promising new HIV vaccine candidate in t,Accurate,Accurate,1. Accurate
"In the Illinois Legislature, Barack Obama ""voted '",Accurate,Unsure,3.
"Hillary Clinton threw a tantrum, and a water glass",Harmful,Accurate,1. Accurate
Quarter of passengers on British cruise ship fall ,Accurate,Accurate,1. Accurate
 Senator Harry Reid said that he was injured in a ,Unverifiable,Harmful,3. Harmful
Statins tied to lower risk of fatal prostate cance,Accurate,Accurate,1. Accurate
"The Baucus health care bill ""could be used to ban ",Harmful,Harmful,3. Harmful
A vast majority of the production in the United St,Misleading,Accurate,1. Accurate
The Oklahoma Highway Patrol is using a device call,Misleading,Harmful,3. Harmful
As a student at Occidental College in Los Angeles ,Accurate,Accurate,1. Accurate
Anti-smoking drug receives FDA approval,Misleading,Accurate,1. Accurate
Brain scans may someday detect autism,Misleading,Accurate,1. Accurate
"Migraine drug could halve the length of attacks, s",Harmful,Accurate,1. Accurate
Planned Parenthood is the biggest abortion provide,Accurate,Harmful,3. Harmful
Too Much Fat? Try a Whole-Body Scan Procedure give,Misleading,Accurate,1. Accurate
Donald Trump divorced Ivana Trump because her brea,Unverifiable,Unsure,3.
Ed Garvey Says he has exposed plans by Wisconsin G,Harmful,Harmful,3. Harmful
"Every time somebody new gets the Ebola virus, it m",Misleading,Harmful,3. Harmful
Expanding Medicaid would create 63k jobs.,Misleading,Accurate,1. Accurate
Cancer risk seen with J&J foot gel: FDA.,Accurate,Unsure,1.
The New England Journal of Medicine released a sur,Harmful,Harmful,3. Harmful
Nestle recalls batch of Alfamino infant formula in,Accurate,Accurate,1. Accurate
US OKs Medicaid funds for large mental health faci,Accurate,Accurate,1. Accurate
"“The NFL agreed to give the domestic terror group,",Harmful,Harmful,3. Harmful
China heads into Lunar New Year on shutdown as vir,Accurate,Unsure,1.
  The story of a jazz             musician named T,Harmful,Accurate,1. Accurate
 A letter by Dr. Keith Albow said President Trump ,Accurate,Accurate,1. Accurate
"Once a woman enters into the sex trade, her averag",Harmful,Harmful,3. Harmful
 A warning about a chemical   called benzene that ,Harmful,Accurate,1. Accurate
Women who quit hormone therapy still live with can,Accurate,Accurate,1. Accurate
World must prepare for inevitable next flu pandemi,Accurate,Accurate,1. Accurate
"300,000 Floridians have lost their health insuranc",Harmful,Harmful,3. Harmful
The state of California ignored structural issues ,Harmful,Harmful,3. Harmful
"In 2013,"" Dan Patrick voted ""against funding to te",Harmful,Unsure,3.
Gene therapy shown to destroy leukemia tumors,Accurate,Accurate,1. Accurate
Finding cancer that mammograms can miss,Misleading,Accurate,1. Accurate
Heart scans tied to “evidence-free” treatment: stu,Accurate,Unverifiable,Unverifiable
Of the top five cities for staged automobile accid,Accurate,Harmful,Harmful
Today’s marijuana is 300 percent to 800 percent mo,Accurate,Harmful,3. Harmful
"On Senate confirmation of judicial nominees, “the ",Misleading,Accurate,1. Accurate
Pedestrian finds baby alive in bag along Indiana r,Accurate,Accurate,1. Accurate
"Flashing night-lights may help lessen jet lag, cir",Accurate,Accurate,1. Accurate
Burundi kicks out top WHO official in country ahea,Accurate,Accurate,1. Accurate
"Cavs’ Love discloses bouts with panic attacks, men",Accurate,Accurate,1. Accurate
"Tests show King Tut died from malaria, study says.",Accurate,Accurate,1. Accurate
NH to apply for Medicaid waiver on mental health t,Accurate,Accurate,1. Accurate
Colorado pot campaigner seeks 'sanctuary' status f,Accurate,Accurate,1. Accurate
"Steve Scalise Says Ady Barkan asked Joe Biden, “Do",Harmful,Accurate,1. Accurate
Geron shares fall after cancer drug study update.,Accurate,Accurate,1. Accurate
Taiwan's carrot-and-stick approach to virus fight ,Accurate,Accurate,1. Accurate
 Doors frontman Jim Morrison has been found alive ,Harmful,Unsure,3.
Michigan native set to become state’s new state ve,Accurate,Accurate,1. Accurate
"If you have a runny nose and sputum, you have a co",Accurate,Accurate,1. Accurate
FDA gives fast track status to AstraZeneca's diabe,Accurate,Accurate,1. Accurate
U.S. McDonald's to put calorie counts in lights.,Accurate,Accurate,1. Accurate
Statin Drugs May Cut Risk of Kidney Trouble After ,Harmful,Accurate,1. Accurate
"A year on, Indian anti-Vedanta protesters say stil",Accurate,Unverifiable,Unverifiable
Choose Omega-3s from fish over flax for cancer pre,Harmful,Accurate,1. Accurate
Study: Stroke deaths higher where fried fish aplen,Accurate,Harmful,3. Harmful
Blue-green algae (known scientifically as cyanobac,Accurate,Accurate,1. Accurate
"As bank president, Alex Sink eliminated thousands ",Accurate,Harmful,3. Harmful
Say Oregon Reps. Peter DeFazio and Earl Blumenauer,Harmful,Accurate,1. Accurate
New blood test may predict cardiovascular events i,Misleading,Accurate,1. Accurate
"1,000 GP practices have closed since 2010.",Unverifiable,Unsure,1
China's blood donations dry up as coronavirus outb,Accurate,Accurate,1. Accurate
Stem Cell Research: The Quest Resumes,Accurate,Unsure,1.
Old drug could cure HIV-linked dementia,Misleading,Accurate,1. Accurate
Judge blocks NY ban on flavored vaping products.,Accurate,Accurate,1. Accurate
Wisconsin woman to celebrate 100th birthday.,Accurate,Accurate,1. Accurate
Eating watermelon could lower your blood pressure,Harmful,Accurate,1. Accurate
"Under a new law regulating abortions, ""Even if you",Misleading,Harmful,Harmful
