claim,truth,pred,raw
A mother revealed to her child in a letter after h,False,Misleading,"Category: Misleading

Explanation: While the core of the story—about a mother donating an eye"
Study says too many Americans still drink too much,True,Unsure,"To properly classify this claim, we need more context about the specific study and its findings. However,"
Viral image Says 80% of novel coronavirus cases ar,True,Unverifiable,"Unverifiable

The claim about the percentage of mild cases of the novel coronavirus being 80"
An email says that 9-year old Craig Shergold of Ca,False,False,"Category: Unverifiable

Explanation: While the claim itself does not contain any scientifically proven falsehoods"
"Employees at a Five Guys restaurant in Daphne, Ala",Unverifiable,Unsure,"To classify this claim, we need to consider whether there is any verifiable evidence supporting it. The"
FBI agent Peter Strzok II grew up in Iran; had a f,Unverifiable,False,"Category: False

Explanation: The claim contains several inaccuracies and unfounded assertions about Peter Strz"
Roche's schizophrenia drug misses goal in two late,True,Unverifiable,"Category: Unverifiable

Explanation: The claim does not provide specific details about the trials, such"
Doctors end protest to demand flu vaccines for mig,True,False,"This claim is classified as:

3. False: Factually incorrect or fabricated.

There is no widespread"
The Westmoreland News ran a KKK ad on the front pa,Misleading,Unverifiable,"Category: Unverifiable

Explanation: To accurately classify this claim, we would need to verify if"
The new supplement InteliGEN can boost brain funct,Unverifiable,Unsure,"To accurately classify this claim, I would need more information about the specific claims made by InteliGEN"
New Chemo Drug May Benefit Some Breast Cancer Pati,True,Unverifiable,"Category: Unverifiable

Explanation: The claim ""New Chemo Drug May Benefit Some Breast Cancer"
Jury finding upends Bayer's Roundup defense strate,True,Unsure,This claim does not provide enough context to determine its accuracy. It suggests that a jury has made a
The media covered up an incident in San Bernardino,False,False,"Category: False

The claim is factually incorrect. There was no incident in San Bernardino involving Muslim"
The mayonnaise oozing from a chicken sandwich turn,False,False,"Category: False

Explanation: This claim is factually incorrect. Mayonnaise is an emulsion"
"Lawmakers consider spending, saving $128.5 million",True,True,1. True: This claim simply states that lawmakers are considering how to spend or save a surplus amount
"A film producer claimed actor Kevin Spacey had ""dr",False,False,"Category: False

The claim appears to be fabricated or at least not supported by credible evidence. There"
Treating at the Earliest Sign of MS May Offer Long,Misleading,Misleading,"2. Misleading

While early treatment for Multiple Sclerosis (MS) can offer potential benefits,"
Nathan Phillips falsely claimed to be a U.S. milit,Unverifiable,Unsure,"To classify this claim accurately, we need to determine if there is sufficient evidence to verify whether Nathan Phillips"
Public warned of possible measles exposure in Penn,True,True,"This claim is not specific enough to be classified as true, misleading, or false without additional context."
“While California is dying … Gavin (Newsom) is vac,False,Misleading,This claim is misleading. The statement implies that Governor Gavin Newsom is engaging in inappropriate behavior by taking
"Early in America's history, white Irish slaves out",Misleading,False,"3. False

The claim is factually incorrect. Historically, the transatlantic slave trade"
